article_id,link,title,description,content,keywords,creator,language,country,category,datatype,pubDate,pubDateTZ,fetched_at,image_url,video_url,source_id,source_name,source_priority,source_url,source_icon,sentiment,sentiment_stats,ai_tag,ai_region,ai_org,ai_summary,duplicate
18bcb20869c9775e901a021f118cceba,https://economictimes.indiatimes.com/news/new-updates/is-delhi-ncrs-heatwave-misery-finally-ending-imds-this-week-forecast-for-noida-gurgaon-and-ghaziabad-mentions-rain-storms/articleshow/130558522.cms,"Is Delhi-NCR’s heatwave misery finally ending? IMD’s this-week forecast for Noida, Gurgaon and Ghaziabad mentions rain & storms","Delhi-NCR is witnessing a changing weather pattern between April 28 and April 30, with a yellow alert issued for rain, thunderstorms and gusty winds even as temperatures remain above 42°C. Dust storms have already been reported across parts of Delhi-NCR, though with varying intensity, as a cyclonic system moves towards the region. While heatwave conditions persist for now, forecasts suggest incoming pre-monsoon activity, including rain and strong winds, may bring gradual relief.",ONLY AVAILABLE IN PAID PLANS,"['delhi thunderstorm forecast', 'delhi weather news live', 'delhi ncr dust storm update', 'delhi dust storm today', 'delhi heatwave 2026', 'delhi weather update', 'delhi rain forecast april 2026', 'delhi aqi today', 'imd yellow alert delhi', 'delhi temperature 42 degree']",['et online'],english,['india'],"['top', 'environment']",news,2026-04-27 21:15:01,UTC,2026-04-27 16:01:55,"https://img.etimg.com/thumb/width-1600,height-900,imgsize-537022,resizemode-75,msid-130558522/news/new-updates/is-delhi-ncrs-heatwave-misery-finally-ending-imds-this-week-forecast-for-noida-gurgaon-and-ghaziabad-mentions-rain-storms.jpg",,economictimes_indiatimes,The Economic Times,231,https://economictimes.indiatimes.com,https://n.bytvi.com/economictimes_indiatimes.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
41c5bcd33abdb1c79d0bab8a1d9216e2,https://www.news18.com/agency-feeds/maximum-temperature-in-city-likely-to-touch-44-degrees-celsius-10059176.html,Maximum temperature in city likely to touch 44 degrees Celsius,Maximum temperature in city likely to touch 44 degrees Celsius,ONLY AVAILABLE IN PAID PLANS,,['news18'],english,['india'],"['top', 'environment']",news,2026-04-27 09:45:05,UTC,2026-04-27 04:31:25,https://images.news18.com/ibnlive/uploads/2025/05/News18_India_Section_Default_Image_1600x900-2025-05-b4faf46d67a95708181b01e36cf20c4b-3x2.jpg,,news18,News 18,1063,https://www.news18.com,https://n.bytvi.com/news18.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
16f82886fb523f31a97d0783eacd6fcd,https://www.news18.com/photogallery/lifestyle/food/using-stored-dosa-batter-heres-when-it-turns-unsafe-ws-l-10058704.html,Using Stored Dosa Batter? Here’s When It Turns Unsafe,"Even when refrigerated, batter isn’t completely safe for long storage. Exposure to air can lead to fungus or mold growth, which can harm your digestive system.",ONLY AVAILABLE IN PAID PLANS,"['food poisoning from batter', 'fermented batter risks', 'safe dosa batter fermentation', 'dosa batter safety', 'storing dosa batter in fridge', 'spoiled dosa batter signs', 'dosa batter storage', 'how long dosa batter lasts']",['surbhi pathak'],english,['india'],"['top', 'environment']",news,2026-04-26 20:36:53,UTC,2026-04-26 15:31:21,https://images.news18.com/ibnlive/uploads/2026/04/1777215241_1777195709_dosa-batter-2026-04-ade3ea308dc4d956b20ca054ead3bbc4-1200x800.jpg,,news18,News 18,1063,https://www.news18.com,https://n.bytvi.com/news18.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
de7d8abb9ce4790d53c412f28d008d4b,https://www.news18.com/videos/from-toxic-smog-to-clear-skies-how-beijing-defeated-its-smog-crisis-in-just-a-decade-n18g-10061197.html,From Toxic Smog to Clear Skies: How Beijing Defeated Its Smog Crisis in Just a Decade | N18G,"Beijing was once infamous for its deadly smog, with air pollution reaching hazardous levels during the 2013 environmental crisis. In response, China launched a massive, decade-long clean air campaign involving strict industrial regulations, expansion of electric vehicles, public transport upgrades, and a strong push toward renewable energy.By 2025, air quality in Beijing has improved significantly, marking some of the cleanest levels on record. However, pollution challenges still remain, with readings in some areas continuing to exceed WHO safety limits. OC SLUGSCNN-News18 is your trusted source for breaking news, updates, and in-depth analysis from around the world. CNN-News18 is dedicated to bringing you the latest news, trends, and insights, helping you stay informed and up-to-date. Subscribe Now and join our community of informed and engaged viewers. Follow us on Google: news18.co/cn18gFollow CNN News18 on X: https://x.com/CNNnews18Follow CNN News18 on Instagram: https://www.instagram.com/cnnnews18/Follow CNN News18 on Facebook: facebook.com/cnnnews18 with latest headlines on politics, sports and entertainment on news18.comNews18 Mobile App - https://onelink.to/desc-youtube",ONLY AVAILABLE IN PAID PLANS,"['news18', 'chinanews', 'beijingairpollution', 'globalwarming', 'publichealth', 'latest news', 'cleanairinitiative', 'climateaction', 'beijingnews', 'airpollutionchina', 'environmentalupdate', 'environmentalpolicy', 'renewableenergy', 'climatecrisis', 'carbonemissions', 'currentaffairs', 'chinasmog', 'sustainability', 'urbanpollution', 'greenchina']",['news18'],english,['india'],"['top', 'environment']",multimedia,2026-04-28 00:35:37,UTC,2026-04-28 04:31:48,https://images.news18.com/ibnlive/uploads/2026/04/1777349462_733d54d9-23c7-4b99-8e5f-b8434c04fbe8-1200x720.jpeg,https://media.nw18.com/media-assets/n3opql/0887d6d0-5409-4863-ae0e-d27223848d59/1777349359572-twX2DJNrryE/720p-h264.mp4,news18,News 18,1063,https://www.news18.com,https://n.bytvi.com/news18.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
50d5f466ecd1f0997242270b24835670,https://www.ndtv.com/india-news/union-minister-jyotiraditya-scindias-summer-advice-keep-onion-in-your-pocket-extreme-summer-heat-ncr-heatwave-11413814,"Video: ""Keep Onion In Your Pocket"": Jyotiraditya Scindia's Summer Advice",Jyotiraditya Scindia spoke about how he deals with high temperatures,ONLY AVAILABLE IN PAID PLANS,"['ncr heatwave', 'heatwave india', 'union minister jyotiraditya scindia', 'heat related health risks', 'extreme summer heat']",['anwesha singh'],english,['india'],"['top', 'environment']",news,2026-04-27 10:40:17,UTC,2026-04-27 05:31:16,"https://c.ndtvimg.com/2026-04/87aqsul8_scindia_625x300_27_April_26.jpg?im=FitAndFill,algorithm=dnn,width=1200,height=738",,ndtv,Ndtv,1204,http://www.ndtv.com,https://n.bytvi.com/ndtv.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
406d67d8fa6ae12446e0fceb9cd73d2e,https://www.ndtv.com/health/is-your-air-conditioner-making-you-sick-5-hidden-health-risks-everybody-should-know-11411664,5 Hidden Health Risks Of Overusing Air Conditioners In Summer,"With a 42-degree heatwave, are you someone who is blasting their air conditioning unit? Then, you need to know the 5 hidden health risks that may be associated with extreme artificial cooling and how...",ONLY AVAILABLE IN PAID PLANS,"['dry eyes from air conditioning', 'air conditioner bad for health', 'sick building syndrome', 'health impact of sleeping in ac', 'air conditioner cleaning tips', 'dr. sandeep nayar', 'ac side effects in summer', 'how to safeguard from heatwave', 'how to prevent ac related headaches', 'ac health risks', 'air conditioner health risks', 'air conditioner bad for your skin', 'importance of cleaning ac filters', 'respiratory issues from ac', 'ac side effects']",['rupashi chhabra'],english,['india'],"['top', 'environment']",news,2026-04-27 09:52:21,UTC,2026-04-27 05:02:45,"https://c.ndtvimg.com/2026-04/7iipdgpc_air-conditioner-health_625x300_27_April_26.png?im=FeatureCrop,algorithm=dnn,width=1200,height=738",,ndtv,Ndtv,1204,http://www.ndtv.com,https://n.bytvi.com/ndtv.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
4f42306b8dad47170848a8144f1409c3,https://www.moneycontrol.com/news/india/keep-an-onion-in-your-pocket-jyotiraditya-scindia-shares-heatwave-tip-as-temperatures-soar-watch-13900346.html,‘Keep an onion in your pocket’: Jyotiraditya Scindia shares heatwave tip as temperatures soar | Watch,"Referring to the intense heat in the Chambal region, he said people often ask how he manages when temperatures touch 51 degrees Celsius during peak summer months. He attributed it to what he called “Chambal skin.”",ONLY AVAILABLE IN PAID PLANS,"['jyotiraditya scindia onion tip', 'barmer hottest place', 'india weather news', 'heatwave india advice', 'heatwave', 'india heatwave temperature', 'ncr heatwave forecast', 'chambal skin scindia', 'carry onion heat remedy', 'india weather']",['moneycontrol news'],english,['india'],"['top', 'environment']",news,2026-04-27 11:17:26,UTC,2026-04-27 06:03:25,https://images.moneycontrol.com/static-mcnews/2026/04/20260427054617_Screenshot-2026-04-27-111101.png,,moneycontrol,Moneycontrol,2087,https://www.moneycontrol.com,https://n.bytvi.com/moneycontrol.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
e0d35e3f9baf4391932c4844c3439443,https://www.moneycontrol.com/city/delhi-heatwave-to-ease-rain-gusty-winds-from-tuesday-to-bring-temperatures-below-40-c-article-13900112.html,"Delhi heatwave to ease: Rain, gusty winds from Tuesday to bring temperatures below 40°C","According to IMD forecasts, more sustained relief is expected from Tuesday and Wednesday, when scattered rain and strong winds are likely to push temperatures below 40°C.",ONLY AVAILABLE IN PAID PLANS,"['delhi rain relief', 'delhi heatwave', 'delhi weather today']",['moneycontrol city desk'],english,['india'],"['top', 'environment']",news,2026-04-27 07:49:55,UTC,2026-04-27 02:32:13,https://images.moneycontrol.com/static-mcnews/2025/04/20250424081916_1-heatwave.jpg,,moneycontrol,Moneycontrol,2087,https://www.moneycontrol.com,https://n.bytvi.com/moneycontrol.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
3e59f3c32d80367358e6c4d3d5fae556,https://www.hindustantimes.com/cities/delhi-news/delhi-swelters-at-42-1-c-rainfall-likely-to-bring-respite-from-tuesday-101777249002105.html,"Delhi swelters at 42.1°C, rainfall likely to bring respite from Tuesday","A “yellow alert” has been issued by IMD for isolated heatwave conditions on Monday, with chances of some scattered drizzle to light rain post noon.",ONLY AVAILABLE IN PAID PLANS,"['rainfall in delhi', 'north india heatwave temperatures', 'delhi heatwave', 'delhi weather today', 'delhi weathe', 'excessive heat']",['jasjeev gandhiok'],english,['india'],"['top', 'environment']",news,2026-04-27 05:55:25,UTC,2026-04-27 00:32:58,https://www.hindustantimes.com/ht-img/img/2026/04/27/1600x900/logo/ANI-20260426356-0_1777249138317_1777249150588.jpg,,hindustantimes,Hindustan Times,2173,http://www.hindustantimes.com,https://n.bytvi.com/hindustantimes.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
bbd78f14ee8631dbe647a38e427d0e3a,https://www.hindustantimes.com/ht-insight/climate-change/breathing-for-two-in-unsuitable-air-101777204145705.html,"Breathing for two, in unsuitable air","This article is authored by Angela Chaudhuri, chief catalyst, Swasti.",ONLY AVAILABLE IN PAID PLANS,"['air pollution', 'maternal health', 'pregnancy loss', 'reproductive health', 'sulphur dioxide']",['angela chaudhuri'],english,['india'],"['top', 'environment']",news,2026-04-26 17:23:06,UTC,2026-04-26 12:32:23,https://www.hindustantimes.com/ht-img/img/2026/04/26/1600x900/logo/The-plan--outlined-in-a-report-uploaded-on-the-CAQ_1768931927892_1777204308467.jpg,,hindustantimes,Hindustan Times,2173,http://www.hindustantimes.com,https://n.bytvi.com/hindustantimes.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
